source,target,weight,topics,source_handle,target_handle
did:plc:6giah4xfhkhm5qnupurrubmt,did:plc:q26wuyujp2av5axczdwgzr3g,2,['tennis'],michaelcdickens.bsky.social,tennistourtalk.bsky.social
did:plc:6xft23cyyeab5qz5yhuqouil,did:plc:krni4bugnyot7ycymbx76i2r,4,['tennis'],winggirle.bsky.social,did:plc:krni4bugnyot7ycymbx76i2r
did:plc:6xft23cyyeab5qz5yhuqouil,did:plc:tdumzhz2mesu62guhwotgkto,4,['tennis'],winggirle.bsky.social,atptour.stadio.top
did:plc:7kt2g5jmef47kkc7zchprjlj,did:plc:u46h6l4loixv4ihq3zequ6ht,1,['padel'],padelspain.bsky.social,did:plc:u46h6l4loixv4ihq3zequ6ht
did:plc:elpkkhxsix7xq22z6r36idve,did:plc:oj5ynylmmargb5szeajr4nev,1,['tennis'],taylorc97.bsky.social,did:plc:oj5ynylmmargb5szeajr4nev
did:plc:go3it7uct3ypjv2enyk3dizu,did:plc:aqft3skifiy2acgpumvdpncu,1,['tennis'],sunshinecoastnews.bsky.social,did:plc:aqft3skifiy2acgpumvdpncu
did:plc:go3it7uct3ypjv2enyk3dizu,did:plc:e2drs32jh5ecv5nki2bs5for,1,['tennis'],sunshinecoastnews.bsky.social,did:plc:e2drs32jh5ecv5nki2bs5for
did:plc:go3it7uct3ypjv2enyk3dizu,did:plc:evi5agatlbfmng4p54ivcjxg,1,['tennis'],sunshinecoastnews.bsky.social,did:plc:evi5agatlbfmng4p54ivcjxg
did:plc:go3it7uct3ypjv2enyk3dizu,did:plc:nukc6mheodshiiphud7knfl2,1,['tennis'],sunshinecoastnews.bsky.social,did:plc:nukc6mheodshiiphud7knfl2
did:plc:gomg2dyybjg4vajaqs6lbqxt,did:plc:rji2msf4lkscvud7w3potnk6,1,['tennis'],everything-theatre.co.uk,did:plc:rji2msf4lkscvud7w3potnk6
did:plc:icoyzqwyq2eacvyu2r7od3go,did:plc:lutusp5rz27fifqljtd3iyno,1,['tennis'],jennystitches.bsky.social,did:plc:lutusp5rz27fifqljtd3iyno
did:plc:leuequfke35qlqol6iz327ys,did:plc:azsiq6a5plbpa7ekw7pdrnum,1,['tennis'],justinpowellweb.bsky.social,did:plc:azsiq6a5plbpa7ekw7pdrnum
did:plc:m33n3xl4xxv7jpekfuovk7in,did:plc:fr753mzicrykmvbuytq5ok4c,1,['tennis'],espnpr.bsky.social,did:plc:fr753mzicrykmvbuytq5ok4c
did:plc:ozfkxoeholyjq77grteqfi4o,did:plc:ep7nkgq25dcoufjkhywtx6uv,1,['padel'],fgderrien.bsky.social,did:plc:ep7nkgq25dcoufjkhywtx6uv
did:plc:ozfkxoeholyjq77grteqfi4o,did:plc:p7gdpofkiswapwrhfos7nqqd,1,['padel'],fgderrien.bsky.social,did:plc:p7gdpofkiswapwrhfos7nqqd
did:plc:phtvxxawrajxbv3utkmuakxd,did:plc:hzcewbkoj4bxqtvdecivbptr,1,['tennis'],mertontv.bsky.social,did:plc:hzcewbkoj4bxqtvdecivbptr
did:plc:q26wuyujp2av5axczdwgzr3g,did:plc:krni4bugnyot7ycymbx76i2r,1,['tennis'],tennistourtalk.bsky.social,did:plc:krni4bugnyot7ycymbx76i2r
did:plc:qwh2jhvps4nfrmcrbyevsigy,did:plc:yyiyccuveoyqshnhgk6fd2vp,1,['tennis'],chieftabi.bsky.social,did:plc:yyiyccuveoyqshnhgk6fd2vp
did:plc:syw7bbzaxxr2ssrt6cwgpyqj,did:plc:mzjx7ogv4bbk36axsbtskqnq,1,['tennis'],heavenlyblue007.bsky.social,did:plc:mzjx7ogv4bbk36axsbtskqnq
did:plc:vcp7sudqfuc7dclm7wj5wmew,did:plc:vovinwhtulbsx4mwfw26r5ni,1,['tennis'],zachtirone.bsky.social,did:plc:vovinwhtulbsx4mwfw26r5ni
did:plc:xyte2uq4wq4dqxrjqr3y4xav,did:plc:47im5i5ptau2br4rh7lp2ryr,1,['tennis'],rtkrum.bsky.social,did:plc:47im5i5ptau2br4rh7lp2ryr
